h3_cell_6,sum_population,avg_food,sum_gdp,gdp_per_capita
862649647ffffff,1445.0,,5732310.3703,3966.996796055363
86264964fffffff,750.0,,3314812.3353,4419.7497803999995
862649657ffffff,1870.0,,50499787.8865,27005.234163903744
86264965fffffff,406.0,,2638961.4333,6499.905008128079
862649667ffffff,3117.0,,26810015.360999998,8601.224049085658
86264966fffffff,1869.0,,6145062.4223,3287.8878663991436
862649677ffffff,1425.0,,5028212.8363,3528.5704114385962
862649687ffffff,417.0,,1821856.7607,4368.961056834532
86264968fffffff,380.0,,1116502.4368,2938.1643073684213
862649697ffffff,869.0,,2583494.3509,2972.950921634062
86264969fffffff,193.0,,974303.79544,5048.2061939896375
8626496a7ffffff,511.0,,1049867.5796,2054.535380821918
8626496afffffff,802.0,,4340593.4108,5412.211235411471
8626496b7ffffff,617.0,,1233638.3699,1999.4138896272286
8626496c7ffffff,612.0,,474013.59328,774.5320151633987
8626496cfffffff,116.0,,50542.13813,435.7080873275862
8626496d7ffffff,513.0,,661961.39709,1290.3730937426901
8626496dfffffff,179.0,,178396.67734999998,996.6294824022345
8626496e7ffffff,567.0,,1576332.5361,2780.1279296296293
8626496efffffff,2742.0,,89216548.4887,32537.034459773888
8626496f7ffffff,780.0,,1475370.5571,1891.5007142307693
862649707ffffff,896.0,,897384.5487,1001.5452552455357
86264970fffffff,34.0,,208635.7253,6136.3448617647055
862649717ffffff,277.0,,641853.0805,2317.1591353790614
86264971fffffff,63.0,,2448818.4024,38870.13337142857
862649727ffffff,1288.0,,4894702.043,3800.2345054347825
86264972fffffff,327.0,,1090194.9616,3333.92954617737
862649737ffffff,1420.0,,33218431.480299998,23393.26160584507
862649747ffffff,580.0,,4011477.005,6916.339663793104
86264974fffffff,1599.0,,13351897.347,8350.154688555347
862649757ffffff,335.0,,2044529.8042000001,6103.07404238806
86264975fffffff,1447.0,,5051426.7245,3490.9652553559085
862649767ffffff,386.0,,12728887.8167,32976.39330751295
86264976fffffff,116.0,,336993421.1789,2905115.6998181036
862649777ffffff,81.0,,638753.7177,7885.848366666667
862649787ffffff,405.0,,908619.2585,2243.5043419753088
86264978fffffff,1216.0,,30993470.6333,25488.051507648026
862649797ffffff,1325.0,,36151700.1823,27284.30202437736
86264979fffffff,401.0,,1169115.9894,2915.501220448878
8626497a7ffffff,625.0,,1147239.4806,1835.5831689599997
8626497afffffff,318.0,,551684.2779,1734.8562198113207
8626497b7ffffff,1446.0,,4774265.2533,3301.7048778008298
862649a0fffffff,6722.0,,108867676.5119,16195.726943156798
862649a1fffffff,1676.0,,6159754.3891,3675.271115214797
862649a47ffffff,9314.0,,63530239.0619,6820.940418928494
862649a4fffffff,4338.0,,21030630.8748,4848.001584785616
862649a57ffffff,9458.0,,195165122.361,20634.925180905055
862649a5fffffff,5513.0,,114763042.685,20816.804405042625
862649a67ffffff,1669.0,,17083112.9315,10235.538005692031
862649a6fffffff,1167.0,,1874979.2406000001,1606.6660159383034
862649a77ffffff,1609.0,,5663207.2603,3519.7061903666877
862649a87ffffff,2863.0,,9854127.9883,3441.888923611596
862649a8fffffff,11459.0,,206314449.325,18004.577129330657
862649a97ffffff,1632.0,,4202993.1128,2575.3634269607846
862649a9fffffff,6411.0,,89884303.6409,14020.325010279208
862649aafffffff,2983.0,,13578161.0303,4551.847479148509
862649ac7ffffff,23113.0,,1136745630.8051,49182.08933522693
862649acfffffff,40274.0,,10273174133.3,255082.04134925758
862649ad7ffffff,16964.0,,742190739.27,43750.927804173545
862649adfffffff,13506.0,,2946451131.0030003,218158.67992025768
862649ae7ffffff,6568.0,,168253014.8886,25617.085092661386
862649aefffffff,28637.0,,2295695265.639,80165.35480808045
862649af7ffffff,3365.0,,53015794.4218,15755.065207072808
862649b4fffffff,16.0,,404410.0377,25275.62735625
862649b5fffffff,503.0,,427724.5384,850.346994831014
86264a24fffffff,36.0,,421377.03494,11704.917637222221
86264a25fffffff,72.0,,152059.7718,2111.9412749999997
86264a2c7ffffff,4.0,,36386.89,9096.7225
86264a2cfffffff,150.0,,822533.3782,5483.555854666667
86264a2dfffffff,149.0,,985392.8058,6613.37453557047
86264a2efffffff,13.0,,48178.720199999996,3706.0553999999997
86264a6cfffffff,70.0,,311869.8983,4455.284261428572
86264a6dfffffff,836.0,,3286545.8734,3931.274968181818
86264b007ffffff,250.0,,1390344.4335,5561.377734000001
86264b00fffffff,599.0,,2507249.33009,4185.72509196995
86264b017ffffff,275.0,,1181149.85364,4295.090376872728
86264b01fffffff,175.0,,922921.33932,5273.836224685714
86264b027ffffff,339.0,,1546314.11545,4561.3985706489675
86264b02fffffff,754.0,,7179395.2606,9521.74437745358
86264b037ffffff,333.0,,1709543.9288599999,5133.765552132132
86264b047ffffff,199.0,,394213.17756000004,1980.970741507538
86264b04fffffff,154.0,,1130927.05294,7343.682161948052
86264b057ffffff,872.0,,1565522.71484,1795.3242142660552
86264b05fffffff,2501.0,,30893928.6745,12352.630417632947
86264b067ffffff,102.0,,405251.91339999996,3973.0579745098034
86264b06fffffff,60.0,,1765705.5145999999,29428.42524333333
86264b077ffffff,408.0,,734061.7448,1799.1709431372549
86264b087ffffff,704.0,,4798977.663600001,6816.729635795456
86264b08fffffff,309.0,,2195574.02324,7105.417550938511
86264b097ffffff,4102.0,,82979862.4522,20229.122977133105
86264b09fffffff,448.0,,1027739.96815,2294.06242890625
86264b0a7ffffff,409.0,,864355.825,2113.339425427873
86264b0afffffff,404.0,,928027.6701,2297.098193316832
86264b0b7ffffff,1030.0,,2894668.9247,2810.358179320388
86264b0c7ffffff,106.0,,889388.35358,8390.456165849057
86264b0cfffffff,245.0,,1130364.1767,4613.731333469387
86264b0d7ffffff,355.0,,721772.45233,2033.1618375492958
86264b0dfffffff,129.0,,779846.84656,6045.324391937985
86264b0e7ffffff,276.0,,1727680.0064,6259.710168115942
86264b0efffffff,479.0,,1390170.6561,2902.2351901878915
86264b0f7ffffff,184.0,,1094912.74942,5950.612768586957
86264b107ffffff,576.0,,2488468.4055,4320.2576484374995
86264b10fffffff,1001.0,,3274965.3777,3271.693684015984
86264b117ffffff,1280.0,,18826559.9643,14708.249972109374
86264b11fffffff,314.0,,339606.19287,1081.5483849363059
86264b127ffffff,588.0,,630302.5157,1071.9430539115647
86264b12fffffff,3261.0,,63118856.6157,19355.675135142596
86264b137ffffff,464.0,,906215.9993,1953.0517226293105
86264b147ffffff,125.0,,546364.7656,4370.9181248
86264b14fffffff,128.0,,391585.40709999995,3059.2609929687496
86264b157ffffff,342.0,,816043.9393,2386.0933897660816
86264b15fffffff,303.0,,770686.54749,2543.5199587128714
86264b167ffffff,276.0,,992829.01083,3597.206560978261
86264b16fffffff,169.0,,103139.87414,610.2951132544379
86264b177ffffff,594.0,,590814.95706,994.6379748484849
86264b187ffffff,433.0,,932503.69755,2153.5882160508086
86264b18fffffff,370.0,,958166.92937,2589.6403496486487
86264b197ffffff,672.0,,2316885.7561,3447.7466608630953
86264b19fffffff,457.0,,1262655.15374,2762.9215617943105
86264b1a7ffffff,747.0,,2556782.59716,3422.7344004819274
86264b1afffffff,658.0,,946175.49717,1437.9566826291793
86264b1b7ffffff,629.0,,1457646.3106,2317.4027195548488
86264b207ffffff,82.0,,394426.26136999996,4810.0763581707315
86264b20fffffff,175.0,,348436.09084,1991.0633762285715
86264b217ffffff,84.0,,336588.5082,4007.00605
86264b21fffffff,290.0,,824419.45945,2842.825722241379
86264b227ffffff,330.0,,884001.95196,2678.7937938181817
86264b22fffffff,44.0,,536620.08357,12195.910990227274
86264b237ffffff,167.0,,463221.54295000003,2773.7816943113776
86264b247ffffff,508.0,,474493.2976,934.0419244094488
86264b24fffffff,472.0,,1284255.2878,2720.8798470338984
